Date,Time,Temp (F),RH (%),Wind Spd (mph),Precip (in),
2022-11-03,00:51,58,71,9,m,
2022-11-03,01:51,57,74,9,m,
2022-11-03,03:51,55,77,8,m,
2022-11-03,04:51,54,77,7,m,
2022-11-03,05:51,52,82,8,m,
2022-11-03,06:51,54,77,8,m,
2022-11-03,07:51,55,77,10,m,
2022-11-03,08:51,63,59,8,m,
2022-11-03,09:51,66,56,13,m,
2022-11-03,10:51,68,49,15,m,
2022-11-03,11:51,72,46,24,m,
2022-11-03,12:51,72,46,13,m,
2022-11-03,13:51,73,41,22,m,
2022-11-03,14:51,72,43,16,m,
2022-11-03,15:51,70,46,14,m,
2022-11-03,16:51,70,46,15,m,
2022-11-03,17:51,66,52,13,m,
2022-11-03,18:51,66,49,15,m,
2022-11-03,19:51,66,49,13,m,
2022-11-03,20:51,64,52,16,m,
2022-11-03,21:51,64,52,15,m,
2022-11-03,22:51,64,52,16,m,
